country,name,NASA_Carbon_Stock_t_C_ha,CO2_Mitigated_t_ha,Carbon_Value_USD_ha,Elevation_m,Mean_Temp_C,Annual_Precip_mm
ITA,Monfalcone,0.2742203044891357,1.006388517475128,191.2138183202743,3,13.5,1128.0
KOR,Yeongnam,0.6779602062702178,2.4881139570116995,472.7416518322229,12,0.0,0.0
KOR,Hadong,14.380128383636475,52.77507116794586,10027.263521909714,9,14.100000000000001,1526.0
KOR,Taean,8.547154140472411,31.368055695533748,5959.930582151412,14,0.0,0.0
NLD,Eemshaven,0.0,0.0,0.0,1,8.8,793.0
UKR,Ladyzhinska,0.22638991087675092,0.8308509729176758,157.8616848543584,183,8.0,601.0
UKR,Krivorozhskaya,3.062739310264587,11.240253268671035,2135.6481210474967,92,9.1,458.0
UKR,Prydniprovska,2.62925546169281,9.649367544412613,1833.3798334383964,64,9.1,501.0
UKR,Zaporiska,4.759093790054321,17.465874209499358,3318.516099804878,33,9.8,457.0
UKR,Kurakhovskaya,1.9414068651199339,7.1249631949901575,1353.74300704813,121,8.8,516.0
UKR,Mironovskaya,43.706346054077144,160.4022900184631,30476.43510350799,320,7.300000000000001,557.0
UKR,Zuivska,2.5594089317321775,9.393030779457092,1784.6758480968474,191,8.4,532.0
UKR,Luhanska,3.6243315696716305,13.301296860694883,2527.2464035320277,45,8.5,481.0
UKR,Dobrotvorsky,3.0429760885238646,11.167722244882583,2121.867226527691,205,7.7,625.0
UKR,Burshtynska TES,3.5003499841690062,12.846284441900252,2440.794043961048,230,8.200000000000001,662.0
NLD,Maasvlakte (MPP3),5.258954219818115,19.300361986732483,3667.068777479172,3,9.8,759.0
THA,Mae Mah,20.77144187927246,76.23119169692993,14483.926422416685,344,25.700000000000003,1096.0
THA,BLCP Power,2.3837936210632322,8.748522589302063,1662.2192919673919,1,0.0,0.0
ITA,FUSINA T.,9.766648731231689,35.843600843620294,6810.284160287856,2,13.200000000000001,823.0
KOR,Honam,3.338790397644043,12.253360759353637,2328.138544277191,59,0.0,0.0
KOR,Dangjin,0.0,0.0,0.0,6,0.0,0.0
CHN,Changshu - CPI 1 Coal,0.0,0.0,0.0,8,0.0,0.0
CHN,Binhai Port Unit 1,0.20229722321033478,0.7424308091819286,141.06185374456643,1,13.8,869.0
ZAF,Lethabo,1.8484925603866575,6.783967696619033,1288.9538623576163,1468,16.5,661.0
ZAF,Matimba,0.0,0.0,0.0,888,21.0,443.0
ZAF,Arnot,5.306280708312988,19.474050199508664,3700.069537906646,1675,14.600000000000001,743.0
ZAF,Hendrina,2.552723178863525,9.368494066429138,1780.0138726215362,1635,14.9,717.0
ZAF,Komati,0.6273924767971039,2.302530389845371,437.4807740706205,1605,15.100000000000001,709.0
ZAF,Kendal,25.225062294006346,92.5759786190033,17589.435937610626,1614,15.3,700.0
ZAF,Duvha,1.924244704246521,7.061978064584732,1341.775832271099,1603,15.100000000000001,700.0
ZAF,Matla,1.2846453833580016,4.714648556923866,895.7832258155345,1630,15.5,696.0
ZAF,Kriel,4.889999809265136,17.946299300003048,3409.796867000579,1613,15.5,695.0
ZAF,Tutuka,0.7972284054756165,2.9258282480955122,555.9073671381474,1631,15.100000000000001,682.0
ZAF,Camden,0.946339497566223,3.4730659560680386,659.8825316529274,1675,14.700000000000001,767.0
ZAF,Majuba,0.6160247695446014,2.2608109042286872,429.5540718034506,1704,14.5,727.0
BIH,Gacko Coal CHP Power Plant Bosnia and Herzegovina,0.0,0.0,0.0,974,8.8,1201.0
MNE,Pljevlja Coal Power Plant Montenegro,0.0,0.0,0.0,778,9.0,1120.0
MKD,Oslomej Coal Power Plant Macedonia,18.75150005340576,68.81800519599913,13075.420987239835,741,10.3,769.0
KOS,Kosovo B Coal Power Plant Kosovo,10.279414062499999,37.725449609375,7167.83542578125,539,10.5,747.0
KOS,Kosovo A Coal Power Plant Kosovo,11.774153156280518,43.2111420835495,8210.116995874405,547,10.5,738.0
MKD,Bitola Coal Power Plant Macedonia,8.824335880279541,32.385312680625916,6153.209409318924,620,11.100000000000001,584.0
ZWE,Hwange Coal Power Plant Zimbabwe,4.637741279602051,17.020510496139526,3233.89699426651,771,23.900000000000002,581.0
KGZ,Bishkek CHP Power Plant Kyrgyzstan,0.0,0.0,0.0,784,10.3,428.0
